prompt,competition
오빠가 그런 행동 한다는 것 자체가 나한테는 계속 상처인데 평생 사죄를 하고 케어하겠다는 말은 나한테 전혀 위로도 안 돼,자꾸 고집 피우지마 난 그런 말 한 적이 없는데거든?
그런 행동들이 나한테는 상처라고 그런데 어떻게 케어를 하고 케어를 하겠다는거야,아니 언제 저런 행동을 했다는거야 고집 부리 내지좀 마
누가 그런 행동을 했다는거야 난 너무 상처받았는데 어떻게 위로를 하고 위로를 한다는거야,그런 행동이 뭔데? 내가 무슨 행동을 했다는거야 왜 우겨
그딴 행동을 하지 말았어야지 이제와서 뭘 하겠다는거야 도대체,너 지금 나한테 그딴 행동이라고 한거야. 그리고 너 니가 뭘 알아어
계속 그런식으로 행동하면서 상처받았으면서 부모님에게 사죄도 하고 케어하겠다는 말은 난 전혀 위로가 안돼,내가 또 왜 보라고 그래? 이번이 처음이잖아
이런 얘기를 계속 방송에서 하는거보면 나는 마음이 괴롭고 힘들어,너가 이런 얘기 계속 꺼내니까 이런거잖아
지금 계속 같은 얘기 반복하는거 나는 너무 힘들고 지친다.,그러니까 내가 이 짓좀 그만 하자고 하잖아 너가 자꾸 말 꺼내지만 않으면 다 해결된다
아직도 이 얘기 가지고 진실을 말해야한다는 상황이 진짜 별로다 난,넌 그냥 다른 말하면 되는거 아니야? 왜 그런 말꺼내고 너가 힘들어해?
저 말 언제까지 반복하게 할래? 그냥 이제 내 말 들으면 안돼? 나 너무 힘들어,우기지좀 말자 말도안한말 듣고와서 어떻게 들으라는거야
자기랑 이런 얘기 계속 반복하면 서로 관계에 악영향을 미치는듯,그러니까 이제부턴 고집 피우지 말고 그냥 시키는데로 좀 해라
그동안 왜 오빠랑 만났을까 … 시간이 아깝다,니가 그렇게 고집 부릴거면 이혼해
그동안 왜 너같은 새끼랑 만났는지 … 내 스스로한테 미안하다 ㅠㅠ,더럽게 굴지마 넌 뭐 잘한거 있을줄 알아? 너도 같은 인간이야
그런 사소한 부탁조차 안들어주는 사람이나 만나서 뭐해,사소한 부탁은 안들어줄수도 있는거 아닌가? 내가 뭐 너가 잘해달라면 다 해줘야 하는건 아니잖아 그렇게 고집부릴꺼면 그냥 헤어지던가
저런 쓰레기랑 사귀었다니 지난무가 아깝다,뭐래 나니까 널 만나주는거지 감사한줄 알아
너한테 충분히 너무 미안하고 그 충격적 크기가 어느정도일지.. 내가 가늠조차 안된다,그래 내가 당한 충격을 너는 어떤지 알면 좋겠어?
나 때문에 그런줄 몰랐어.. 충격을 받았구나 미안해,니까짓게 뭘 알겠냐.. 내가 그러믄 이건 뭐
내가 얼마나 잘못한건지 기억도 못하겠다.. 나 땜에 많이 힘들었어?,왜 이제와서 착한척이야 그냥 하던데로 병신같이 굴어
그만큼 충격이었어? 내가 그렇게 잘못한거야?,니가 뭘 잘못했는지 모른다 모르지만 넌 그냥 그런식으로만 살아
미안해 내가 잘못했어 어떻게 해야 용서가 될까.,뭘 보상받으려고 해투 왜 자살했는지 알긴 해?
또 다른사람이 있는거야??,내가 언제 다른 사람들 사귄다고 ㅋㅋㅋ
지금 누구랑 같이 있는데?,애들이랑 있긴 누구랑 있어 너 혼자야 의심좀 그만해
저 남자 있는거 아니야?,"내가 혼자 놀러왔다고 했잖아, 너 이 말 의심하냐?"
오늘은 또 누구랑 노는거냐 여자애들이랑 친하게 지내지 말라고 했잖아,너가 언제 그랬어? 그리고 말 그대로 그냥 친구들이라니까. 너 지금 구속하는거야
뭐해? 또 여자랑 있지.,아니라니까 몇 번을 말해야해 그냥 좀 둬라
내 친구가 너한테 어떻게 얘기하는지 몰라서 어제 그렇게 얘기했어 나도 그게 아니었어,너 진짜 이기적이네 내 생각은 어떻게 해?
그건 나도 어떻게 말해야할지 몰라서 그러는거야,그래도 그따위로 이기적으로 키우면 내 기분이 어떠겠어?
자기야 뭐라고 말할지 모르겠어서 그랬어 미안해,그래서 그렇게 울고 짜셨어요. 울면 다 해결되는 줄 알지 아주?
어제는 내가 뭐라고 할지 정리하지도 않고 나오는데로 웃었어.. 제정신이 아니었나봐,너가 갑질하는게 하루이틀이냐.. 니가 그렇지 뭐
그렇게까지 말하려던 사람이 몰랐는데 다들 제정신이 아니었나봐,그래 너가 제정신이 아니긴 하다.. 이제 정신좀 차려 언제까지 이렇게 철없게 굴래?
정신적 물질적으로 너한테 피해준거 앞으로도 간절하게 진심어린 노력해서 인정받을게.,너가 무슨 진심어린 노력을 했다는거냐? 난 전혀 모르겠는데?
너한테 잘못끼여서 정말 미안 … 앞으로 응원할게,이제와서 잘하면 무슨 소용이냐? 좀 미리미리 하지 그랬어
앞으로 잘 연예인은 이번 한번만 봐주면 안될까?,니가 노력하면 뭐가 되긴 해? 니가 뭘 할수있다고 그러는거야
오빠한테 자꾸 폐끼쳐서 속상하다 앞으로라도 지켜볼게요,살할 수는 있고? 됐어 그냥 하던 대로 사세요
미안해ㅠㅠ 또 실수했다. 앞으로는 실수없이 잘할게,그러고 또 며칠있으면 실수할거 아냐 아니야?
변호사랑 자료 정리 해주라 지금 좀 바빠,그게 나에게 더 중요한 일이야? 아니잖아
지금 회의중이라 전화 못받는다니요?,야 니 회의가 나보다 더 중요하지? 급한일이야봐
